id	status	literals	category	guidance	applicability	exceptions	evidence	origin_unit	reviewer	decision_date	notes
RUQ-001	approved	сделать решение;сделайте решение;сделал решение;сделала решение	lexical-calque	Prefer «принять решение» or «решить» when the source meaning permits.	Narration, procedure, and ordinary dialogue.	A following complement can make the phrase literal («сделать решение понятнее»); deliberate marked speech may also retain it. Document the exact reading.	cos-translation-skill-stuff/references/common-kalkas.md:33; reviewed bootstrap recorded in .translation/ru/lessons.md	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Contextual warning only; never auto-replace.
RUQ-002	approved	чувствуйте себя свободно;почувствуйте себя свободно	invitation-calque	Use a natural invitation such as «можете» or «не стесняйтесь», fitted to register.	Instructions and ordinary dialogue.	The phrase can literally describe feeling liberated or unconstrained; intentional characterization may also retain it. Document the exact reading.	cos-translation-skill-stuff/references/common-kalkas.md:42; reviewed bootstrap recorded in .translation/ru/lessons.md	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Contextual warning only; never auto-replace.
RUQ-003	candidate	держать в уме;держите в уме	register-question	This is standard Russian; assess only whether «помнить» or «не забывать» better fits a particular instruction.	Instructions and ordinary dialogue.	The idiom is normally valid Russian and must not be treated as evidence of a calque without narrower contextual evidence.	cos-translation-skill-stuff/references/common-kalkas.md:47; independent Russian editorial audit	workflow-quality-refresh			Do not scan; retain only as a hypothesis for narrower register evidence.
RUQ-004	approved	имеет место быть;имеют место быть	bureaucratic-filler	Replace empty bureaucratic framing with the concrete event or state.	All visible prose.	Deliberately bureaucratic character or quoted institutional voice may retain it.	.translation/ru/lessons.md#2026-07-12-supplied-prose-skill-salvage-audit (source attachment SHA-256 b07c6f68bede2b720b4fcadeb65dade5e456cdc077267b166e11c6cbaff87b16, line 70)	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Contextual warning only; never auto-replace.
RUQ-005	approved	расти в сторону;растёт в сторону;растут в сторону	source-shaped-metaphor	Recast the abstract English trajectory with a concrete change or movement.	Abstract character, campaign, or design development.	Physical growth toward a direction may be literal; verify the source referent.	cos-translation-skill-stuff/references/common-kalkas.md:41,97; blind forward test recorded in .translation/ru/lessons.md	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Contextual warning only; never auto-replace.
RUQ-006	approved	для создания напряжённого боевого опыта	abstract-purpose-chain	State the concrete purpose, for example «чтобы бой был напряжённым», if faithful.	Design and GM-facing prose.	A quoted external title or deliberately parodic register may retain the wording.	cos-translation-skill-stuff/references/common-kalkas.md:100; reviewed bootstrap recorded in .translation/ru/lessons.md	workflow-quality-refresh	workflow-quality-audit	2026-07-12	Contextual warning only; never auto-replace.
RUQ-007	candidate	является;являются	bureaucratic-copula	Check whether a dash or concrete verb produces more natural Russian without changing logic.	Narration, description, and procedure.	The copula can be idiomatic or logically necessary; broad signal requires corpus review.	cos-translation-skill-stuff/references/common-kalkas.md:54	workflow-quality-refresh			Do not scan until signal-to-noise is reviewed.
RUQ-008	candidate	в рамках	bureaucratic-frame	Check whether the frame is empty and can be omitted or expressed concretely.	Narration, procedure, and design notes.	Institutional, legal, or deliberately bureaucratic speech may require it.	cos-translation-skill-stuff/references/common-kalkas.md:30	workflow-quality-refresh			Do not scan until signal-to-noise is reviewed.
RUQ-009	candidate	локация;локации;локацию;локацией;локаций	avoidable-anglicism	Choose «место», «область», «поселение», or another precise term when appropriate.	Narration and GM prose.	An approved game label, quotation, or deliberate table jargon may justify it.	cos-translation-skill-stuff/references/common-kalkas.md:12	workflow-quality-refresh			Do not scan until D&D-specific usage is reviewed.
RUQ-010	candidate	звучит хорошо	response-calque	Use a context-specific response such as «хорошо», «годится», or «разумно».	Dialogue and conversational instructions.	Literal evaluation of sound can make the phrase correct.	cos-translation-skill-stuff/references/common-kalkas.md:48	workflow-quality-refresh			Do not scan until signal-to-noise is reviewed.
RUQ-011	candidate	эмоциональная вовлечённость;эмоционально вовлечься	emotion-calque	Name the intended relation—attachment, concern, participation, or intimacy—without workplace abstraction.	Design notes and campaign guidance.	Technical discussion of engagement may use a specialized reviewed term.	cos-translation-skill-stuff/references/common-kalkas.md:40,99	workflow-quality-refresh			Do not scan until the source sense is reviewed.
